5568839086718560|03/29|664
5568831643773311|11/25|760
5568833497305844|09/27|873
5568838753701909|10/29|504
5568836715844650|06/24|842
5568838029369788|02/28|894
5568833721360987|06/24|881
5568834948786608|08/29|662
5568832980142987|06/24|886
5568833562472073|02/25|320
5568837887468500|01/28|445
5568832626842479|10/28|152
5568834555951800|03/28|891
5568831057996564|12/27|895
5568830362022439|05/28|375
5568832065840646|01/24|717
5568832142545283|09/25|285
5568830081131982|12/29|087
5568838501790881|08/25|554
5568832136710240|01/25|141
5568834468734426|01/26|585
5568834837305528|03/28|256
5568837760264414|10/25|854
5568831959985988|11/25|904
5568839425133380|04/24|114
5568833770023718|01/26|988
5568837185423371|10/26|964
5568833987402945|03/25|393
5568837507544482|07/28|384
5568836443875000|04/28|146
5568833219944078|10/25|067
5568836510499023|12/27|637
5568837303831398|05/24|331
5568833200058250|07/25|899
5568837533289862|03/26|790
5568836429624026|05/27|991
5568832533547393|03/28|505
5568831133337189|08/25|089
5568832125628775|11/25|451
5568835484406113|06/26|942
5568839409215450|01/28|650
5568832452620080|07/26|870
5568834299235734|12/28|809
5568831730027274|08/29|869
5568838947304180|07/29|460
5568835374238741|12/25|745
5568835713276998|02/28|840
5568831102304533|11/26|090
5568834037884389|03/26|930
5568837640693493|02/26|235
5568832467059159|05/27|694
5568832363200576|01/26|852
5568834627872836|01/25|798
5568837108959188|10/26|660
5568835986235929|10/29|428
5568838986884167|08/26|099
5568830385953123|04/26|959
5568834968557632|10/25|589
5568832305031196|08/27|163
5568831044204601|01/29|314
5568836601503071|12/28|074
5568831351765764|10/28|999
5568836402567135|01/26|442
5568833704258513|11/26|396
5568837542080435|12/27|855
5568833061199201|08/25|576
5568837112181217|04/26|974
5568832745692557|01/24|399
5568836948584123|12/27|571
5568837344421571|07/25|680
5568834710838629|11/26|563
5568834725150762|05/27|723
5568834102963399|09/24|449
5568834620161047|01/24|104
5568835200526855|08/28|688
5568837022100661|03/29|881
5568837630989224|09/24|191
5568834738950562|07/28|844
5568830294783314|05/27|865
5568833984130861|08/29|916
5568835727185078|05/25|140
5568838309791875|07/27|145
5568832285847884|07/28|864
5568834416157951|08/29|096
5568831848885530|03/26|609
5568833824236571|10/27|779
5568836616359931|04/29|825
5568836741853642|11/28|096
5568833648507652|09/25|589
5568831658086518|08/26|517
5568832687590504|07/25|001
5568831665363074|01/25|002
5568830117216351|10/25|801
5568832871890405|11/25|617
5568839684710548|01/24|309
5568834410358951|07/28|606
5568830341112996|09/26|686
5568838345809061|07/25|575
5568839999644937|02/27|507
5568836183545466|11/26|234
